name,order,period,rade,tran_depth_ppm,tran_dur_hr,masse,masse_est,semi_au,st_mass,st_rad,st_teff,st_log_lum,Kmag,insol,t_eq,esm,disposition
EPIC 202071401.01,489,3.23792,1.44927,431.00000,1.44480,,2.69553,0.03821,0.71000,0.64000,4500.00000,-0.82100,10.10700,103.41731,887.58140,1.52536,Candidate
EPIC 211336288.01,490,0.22181,1.13000,308.31276,,,1.50607,0.00598,0.58000,0.59000,3942.00000,-1.12800,11.65700,2082.22093,1880.14602,2.52923,Candidate
EPIC 201717274.01,491,3.52725,1.21000,1990.00000,1.68000,,1.92451,0.01717,0.34000,0.26000,3624.00000,-1.82200,12.15300,15.04191,744.18470,2.34712,Candidate
EPIC 204888276.01,492,16.56127,0.95700,1090.00000,4.36800,,0.83020,0.02273,,0.26000,3669.00000,-1.42463,9.25100,,812.99522,6.01165,Candidate
EPIC 211305568.02,495,0.19785,0.72000,197.24587,,,0.29940,0.00517,0.47000,0.47000,3677.00000,-1.43900,10.60800,1363.34882,1691.26486,2.42769,Candidate
EPIC 211817229.01,496,2.17695,1.25000,4800.00000,0.54000,,2.09691,0.02127,0.14000,0.17000,3176.00000,-2.57300,11.69900,9.17436,433.97127,1.42989,Candidate
TOI-4642.01,498,3.60224,1.16719,2229.98569,1.03255,,1.69139,0.02744,0.21235,0.24209,3266.00000,-2.22128,9.51700,7.98066,467.81015,2.35282,Candidate
TOI-4643.01,499,5.02564,1.36655,655.41119,1.83930,,2.43955,0.04604,0.51558,0.51802,3782.00000,-1.30572,8.55000,23.33148,611.70982,2.22157,Candidate
TOI-4644.01,500,0.31819,1.78431,480.00000,0.76200,,3.83698,0.00794,0.66000,0.75085,4242.23000,-0.78382,9.28700,2608.35402,1989.07662,11.65270,Candidate
HD 137496 b,501,1.62116,1.31000,57.50000,3.28000,4.04000,,0.02732,1.04000,1.59000,5799.00000,0.36600,8.24400,3111.99299,2078.83266,1.65260,Confirmed
EPIC 228814754.01,505,0.84455,1.00500,2937.46650,0.58000,,0.98938,0.00886,0.13000,0.17000,3109.00000,-2.61392,11.86500,31.00281,656.76521,3.44364,Candidate
EPIC 247122439.01,506,0.73217,1.10800,149.78281,,,1.40359,0.01500,0.84000,0.83000,4641.00000,-0.54070,10.65400,1279.62300,1664.67857,1.31493,Candidate
EPIC 249901311.01,507,0.80186,1.43300,1134.75422,0.89000,,2.64435,0.01223,0.38000,0.39000,3594.00000,-1.64086,11.98800,152.73310,978.46021,2.78032,Candidate
TOI-1430.01,510,7.43414,1.92124,570.00000,2.42500,,4.35019,0.07062,0.85000,0.78399,5064.00000,-0.43871,7.08400,73.02811,813.64020,5.72946,Candidate
TOI-1742.01,512,21.26917,1.88490,328.00000,5.78000,,4.21141,0.15123,1.02000,1.15853,5707.00000,0.10814,7.33500,56.08629,761.68265,2.16224,Candidate
GJ 367 b,513,0.32196,0.71800,212.00000,0.61500,0.54600,,0.00710,0.45000,0.46000,3522.00000,-1.54100,5.78000,469.44000,1360.44411,17.66058,Confirmed
TOI-5033.01,514,5.46954,1.39849,1600.00000,1.27400,,2.53715,0.04272,0.34768,0.36167,3465.00000,-1.76986,9.44700,9.30824,486.15720,1.86390,Candidate
TOI-5078.01,515,1.51127,1.49529,420.00000,1.11700,,2.84246,0.02321,0.73000,0.68447,4595.00000,-0.72545,8.13100,349.40683,1203.35211,6.77246,Candidate
TOI-5084.01,516,5.83329,1.16611,230.00000,2.00800,,1.68583,0.05684,0.72000,0.75245,4544.00000,-0.66260,5.95700,67.31025,797.22365,4.21512,Candidate
TOI-5088.02,517,13.41552,1.53332,550.00000,3.66500,,2.96628,0.11050,1.00000,0.86901,5638.66000,-0.16255,8.28100,56.33307,762.51911,2.38547,Candidate
TOI-5130.01,522,2.16867,1.80094,230.00000,3.91700,,3.89792,0.03485,1.20100,1.19580,6224.00000,0.28629,7.83400,1591.42931,1757.95080,5.69215,Candidate
TOI-4616.01,523,1.55381,1.22232,3330.15664,1.00379,,1.99565,0.01431,0.16188,0.19273,3244.00000,-2.43109,10.47000,18.10132,574.09982,4.67255,Candidate
LTT 1445 A c,524,3.12390,1.14700,1570.00000,0.48200,1.54000,,0.02661,0.26000,0.27000,3340.00000,-2.04600,6.49600,10.90000,525.45731,9.85416,Confirmed
TOI-5159.01,525,5.83828,1.37093,260.00000,2.47800,,2.45283,0.06126,0.90000,0.85408,5259.00000,-0.29869,7.46800,133.93294,946.85119,2.96839,Candidate
TOI-5166.01,526,1.77269,1.70798,390.00000,1.40900,,3.56249,0.02833,0.96500,0.88646,5502.00000,-0.18790,8.86300,808.51382,1484.16348,5.26407,Candidate
TOI-206 b,527,0.73631,1.30000,1273.44000,0.68944,,2.24129,0.01120,0.35000,0.35000,3383.00000,-1.83600,10.06000,117.76000,914.00983,7.06481,Confirmed
TOI-500 b,528,0.54818,1.16600,248.70000,0.99800,1.42000,,0.01189,0.74000,0.68000,4440.00000,-0.70000,7.71500,1138.00000,1705.96042,9.28051,Confirmed
TOI-833 b,529,1.04188,1.27000,494.70000,1.20651,,2.15419,0.01710,0.61000,0.60000,3920.00000,-1.11100,8.14600,270.07000,1122.82435,8.44361,Confirmed
TOI-1075 b,530,0.60473,1.79100,912.44000,0.98822,9.95000,,0.01159,0.60000,0.58000,3875.00000,-1.14400,9.11500,509.20000,1338.19117,14.05805,Confirmed
TOI-1411 b,531,1.45204,1.36000,380.00000,1.47400,,2.41973,0.02300,0.59000,0.66000,4266.00000,-0.88200,7.25000,277.81000,1104.57691,8.53215,Confirmed
TOI-1442 b,532,0.40907,1.17000,1281.23000,0.61657,,1.70605,0.00710,0.29000,0.31000,3330.00000,-1.97700,10.08900,207.02000,1058.47524,9.79857,Confirmed
TOI-1693 b,533,1.76670,1.41000,821.94000,1.37099,,2.57270,0.02260,0.49000,0.46000,3499.00000,-1.55400,8.33100,57.02000,756.84276,6.15897,Confirmed
TOI-1860 b,534,1.06621,1.31000,162.20000,1.42034,,2.27064,0.02040,0.99000,0.94000,5752.00000,-0.09500,6.79200,1901.78000,1844.99330,7.67012,Confirmed
TOI-2260 b,535,0.35247,1.62000,293.58000,0.85087,,3.25656,0.00970,0.99000,0.94000,5534.00000,-0.19900,8.68400,6839.40000,2520.13619,9.58755,Confirmed
TOI-2411 b,536,0.78269,1.68000,519.19000,1.26215,,3.46397,0.01440,0.65000,0.68000,4099.00000,-0.87100,8.53200,651.91000,1404.84572,10.62202,Confirmed
TOI-2427 b,537,1.30600,1.80000,560.00000,0.63400,,3.89445,0.02020,0.64000,0.65000,4072.00000,-0.94200,7.04800,62.71000,1138.63412,15.52685,Confirmed
TOI-2445 b,538,0.37113,1.25000,2322.62000,0.49182,,2.09691,0.00640,0.25000,0.27000,3333.00000,-2.08400,10.77900,204.49000,1048.26212,12.65850,Confirmed
GJ 3929 b,541,2.61624,1.09000,1120.60000,1.19000,1.75000,,0.02520,0.31000,0.32000,3384.00000,-1.96300,7.86900,17.30000,566.38222,4.71743,Confirmed
TOI-1746.02,542,3.87764,1.34823,1180.00000,1.06200,,2.38428,0.03569,0.40324,0.41047,3340.00000,-1.72377,9.50100,14.83260,546.21572,2.11631,Candidate
TOI-2104.03,543,15.18089,1.99385,680.00000,2.86200,,4.63299,0.11139,0.80000,0.72376,4907.00000,-0.56286,8.65200,22.05335,603.15445,1.52548,Candidate
TOI-2104.04,544,1.98030,1.11592,330.00000,1.69300,,1.43987,0.02865,0.80000,0.72376,4907.00000,-0.56286,8.65200,333.34575,1189.27862,3.77939,Candidate
TOI-2267.03,545,2.28908,1.02363,1667.18456,0.81920,,1.05672,0.02030,0.21305,0.24274,3022.00000,-2.35383,9.45900,10.74212,503.88615,2.63714,Candidate
TOI-2274.02,546,1.11880,1.34567,410.30316,1.09855,,2.37659,0.01791,0.61246,0.63072,3943.00000,-1.06232,8.34200,270.02484,1128.26420,6.41223,Candidate
TOI-1659.01,547,5.87755,1.88721,320.00000,2.59800,,4.22020,0.06576,1.09800,1.00568,5977.00000,0.06555,8.70200,268.95187,1127.14171,2.55378,Candidate
TOI-521.01,548,1.54285,1.99499,2090.00000,1.14600,,4.63750,0.01947,0.41390,0.42003,3465.00000,-1.63994,10.08900,60.41694,775.97826,7.52027,Candidate
K2-383 b,550,1.86596,1.56400,383.00000,1.96320,,3.06775,0.03024,1.06000,0.80000,5129.00000,-0.39700,10.45600,438.24065,1273.46802,2.05946,Confirmed
K2-394 b,551,5.09572,1.69200,606.25909,,,3.50608,0.04538,0.48000,0.63000,4938.00000,-0.85800,9.56800,67.35230,797.34813,1.90453,Confirmed
K2-391 b,552,4.62265,1.37100,486.25473,2.70000,,2.45305,0.04956,0.76000,0.57000,5543.00000,0.39100,10.70500,1001.66551,1565.81539,3.04756,Confirmed
K2-396 b,553,0.67386,1.57900,247.58666,1.60000,,3.11787,0.01479,0.95000,0.92000,5236.00000,-0.23000,10.81100,2692.83622,2004.99070,2.33341,Confirmed
K2-376 b,554,5.77647,1.73600,191.53247,2.10000,,3.66228,0.06106,0.91000,1.15000,5937.00000,0.18900,9.00700,414.51684,1255.87213,1.64524,Confirmed
TOI-1208.01,557,3.42390,1.81673,454.67513,2.13028,,3.95608,0.04416,0.98000,0.82302,5547.00000,-0.23825,9.44900,296.27067,1154.73424,2.94418,Candidate
TOI-4405.02,559,1.09294,1.36073,379.86861,1.62886,,2.42193,0.01826,0.68000,0.68702,4361.00000,-0.81302,10.55200,461.28642,1289.88961,2.43718,Candidate
TOI-5388.01,560,2.59468,1.91250,1070.00000,0.31300,,4.31665,0.02450,0.29149,0.31299,3495.00000,-1.88047,8.31900,21.93453,602.34036,4.26017,Candidate
TOI-5392.01,561,17.53144,1.31031,302.00000,3.46800,,2.27157,0.13029,0.96000,0.90145,5464.00000,-0.18538,7.04200,38.44162,693.04317,1.86923,Candidate
TOI-5395.01,562,6.58115,1.79219,220.00000,3.00100,,3.86582,0.07348,1.22200,1.17186,6269.00000,0.28124,8.93800,353.92591,1207.22430,1.70052,Candidate
TOI-5402.01,563,3.31732,1.51244,459.78553,3.55453,,2.89804,0.03828,0.68000,0.67784,4363.00000,-0.82391,10.58200,102.36546,885.31585,1.35037,Candidate
TOI-1739.01,564,8.30335,1.86547,530.00000,1.68700,,4.13798,0.07387,0.78000,0.78071,4814.00000,-0.53030,8.38800,54.04404,754.65219,2.57442,Candidate
TOI-1756.01,565,2.78301,1.77586,986.25467,1.64845,,3.80620,0.03185,0.55645,0.56261,3756.00000,-1.24599,9.96300,55.95281,761.22904,3.22868,Candidate
K2-183 b,567,0.46929,1.10000,215.20000,1.54080,,1.36760,0.01158,0.94000,0.87000,5482.00000,-0.13800,11.02100,5429.82917,2389.22153,2.24859,Confirmed
TOI-233.02,575,7.20153,1.70560,1987.04991,1.41936,,3.55407,0.05235,0.36905,0.38027,3568.00000,-1.67542,9.09100,7.70453,463.71001,2.19696,Candidate
TOI-554.02,576,3.04403,1.30892,72.40850,1.35104,,2.26748,0.04428,1.25000,1.42717,6337.87000,0.47142,5.70600,1510.09570,1735.04601,4.57926,Candidate
TOI-4643.02,577,10.73869,1.44635,772.00798,1.33738,,2.68633,0.07638,0.51558,0.51802,3782.00000,-1.30572,8.55000,8.47740,474.92556,1.11300,Candidate
TOI-5489.01,578,3.15223,1.43894,1050.00000,1.28500,,2.66298,0.03124,0.40938,0.41596,3547.00000,-1.60776,9.46300,25.28087,624.10534,2.69571,Candidate
TOI-5507.01,579,1.50713,1.06989,760.00000,0.73500,,1.23812,0.01799,0.34215,0.35688,3514.00000,-1.75706,8.56700,54.04030,754.63911,5.04225,Candidate
TOI-5519.01,580,5.85122,1.29163,1100.00000,2.01300,,2.21684,0.04485,0.35158,0.36505,3443.00000,-1.77285,9.43100,8.38685,473.65222,1.18101,Candidate
TOI-5525.01,581,2.75216,1.38208,1025.53912,0.96078,,2.48681,0.02860,0.41185,0.41818,3288.00000,-1.73485,9.33200,22.51902,606.31351,2.83039,Candidate
TOI-5530.01,582,0.47744,1.11803,423.15328,0.95252,,1.44967,0.00963,0.52263,0.52544,3888.00000,-1.24536,9.41000,612.93113,1384.88209,6.02275,Candidate
TOI-5531.01,583,4.53523,1.75362,195.40487,3.07335,,3.72562,0.05433,1.04000,1.10259,5788.42000,0.08977,7.66500,416.61181,1257.45593,3.21545,Candidate
TOI-5553.01,587,1.76172,1.55101,356.40298,1.92807,,3.02461,0.02604,0.75900,0.81434,4732.72000,-0.52325,9.23300,442.04222,1276.22080,3.72374,Candidate
TOI-1801.01,589,10.64394,1.97297,1240.00000,2.71300,,4.55091,0.07718,0.54127,0.54559,3815.00000,-1.24559,7.80500,9.53778,489.12710,2.78015,Candidate
WASP-132 c,590,1.01153,1.85000,640.69000,1.47000,,4.07989,0.01820,0.78000,0.75000,4714.00000,-0.59700,9.67400,871.73000,1463.10059,6.99356,Confirmed
TOI-2068.01,593,7.76898,1.78250,1050.00000,2.18100,,3.83039,0.06246,0.53853,0.54257,3700.00000,-1.30358,9.00700,12.74231,525.86221,1.82042,Candidate
HD 260655 b,594,2.76953,1.24000,650.00000,1.15000,2.14000,,0.02933,0.44000,0.44000,3803.00000,-1.44000,5.86200,42.20000,709.42068,11.51157,Confirmed
HD 260655 c,595,5.70588,1.53300,830.00000,0.98000,3.09000,,0.04749,0.44000,0.44000,3803.00000,-1.44000,5.86200,16.10000,557.51787,7.19462,Confirmed
TOI-1777.01,597,14.65039,1.82604,330.00000,2.08000,,3.99060,0.11947,1.06000,0.98375,5859.45000,0.01189,7.78300,72.00187,810.76654,2.00462,Candidate
TOI-5383.01,598,2.81150,1.40412,90.00000,3.35000,,2.55452,0.04413,1.45000,1.47473,6768.00000,0.61396,7.30600,2111.46557,1886.71316,2.87786,Candidate
TOI-1792.01,599,8.81649,1.28805,170.00000,3.89500,,2.20641,0.08268,0.97000,0.98915,5502.54000,-0.09253,7.52100,118.21853,917.76452,1.67516,Candidate
TOI-2079.02,600,9.31741,1.93620,1170.00000,1.58500,,4.40785,0.06778,0.47851,0.48055,3577.00000,-1.46775,8.61000,7.41400,459.27523,1.55041,Candidate
TOI-1659.02,606,3.39862,1.20502,160.00000,2.18500,,1.89629,0.04564,1.09800,1.00568,5977.00000,0.06555,8.70200,558.29800,1352.93333,1.79618,Candidate
TOI-5700.01,607,1.78128,1.84822,540.00000,2.26100,,4.07321,0.02796,0.91900,0.81678,5329.00000,-0.31451,9.21100,620.05160,1388.88676,5.75107,Candidate
HD 93963 A b,608,1.03914,1.35000,141.50000,1.81200,7.80000,,0.02085,1.11000,1.04000,5987.00000,0.09800,7.77600,2898.00000,2039.42082,4.72386,Confirmed
TOI-5707.01,613,2.03642,1.63899,304.00000,1.72600,,3.32163,0.03121,0.97800,0.93341,5553.00000,-0.12705,8.65700,766.21212,1464.35756,4.36151,Candidate
TOI-5709.01,614,3.38102,1.49789,797.26175,1.90125,,2.85087,0.03484,0.49368,0.49559,3600.00000,-1.42985,8.92000,30.61338,654.69301,2.96499,Candidate
TOI-5715.01,615,6.28230,1.30792,596.09907,2.00553,,2.26453,0.05284,0.49879,0.50074,3827.00000,-1.31465,9.38600,17.35292,568.07150,1.07498,Candidate
TOI-5720.01,616,1.43446,1.39322,1028.21879,0.93489,,2.52093,0.01768,0.35845,0.37103,3421.00000,-1.76987,9.28800,54.32994,755.64824,5.08571,Candidate
TOI-5730.01,617,1.92712,1.42616,898.68213,1.45304,,2.62296,0.02342,0.46155,0.46417,3572.00000,-1.50031,8.93300,57.60387,766.78357,5.13679,Candidate
TOI-5735.01,618,2.12081,0.85880,1194.46851,0.79042,,0.56319,0.01824,0.17989,0.21091,3222.00000,-2.36462,9.79800,12.98649,528.36349,1.75128,Candidate
TOI-5736.01,619,0.64899,1.61685,561.92980,1.05860,,3.24581,0.01217,0.57106,0.57954,3949.00000,-1.13320,10.00400,496.76805,1314.00885,5.43214,Candidate
TOI-5738.01,620,0.76813,1.30406,491.43502,0.99921,,2.25317,0.01355,0.56282,0.56991,3717.00000,-1.25292,10.03100,304.12271,1162.31032,4.03005,Candidate
TOI-5740.01,621,1.68944,1.38215,318.77568,1.33591,,2.48702,0.02486,0.71800,0.78825,4552.00000,-0.61917,10.34700,388.93279,1236.02859,1.97086,Candidate
TOI-5387.01,622,2.80375,1.27650,70.00000,2.77100,,2.17292,0.04680,1.74000,1.52397,7531.00000,0.82806,7.84000,3072.52156,2072.20927,1.78453,Candidate
TOI-5747.01,624,0.57348,1.49695,818.39034,0.90045,,2.84782,0.01008,0.41487,0.42091,3466.00000,-1.63762,8.43500,226.92101,1080.26065,13.25825,Candidate
LP 890-9 b,625,2.72990,1.32000,6238.00000,0.84570,,2.30015,0.01875,0.12000,0.16000,2850.00000,-2.84100,11.34400,4.09000,396.10401,1.71536,Confirmed
TOI-5788.01,630,16.21343,1.98530,530.00000,3.55100,,4.59933,0.12579,1.01000,0.85605,5664.00000,-0.16782,8.57700,42.94611,712.50979,1.67130,Candidate
TOI-5788.02,631,6.33461,1.52532,330.00000,3.34100,,2.94004,0.06722,1.01000,0.85605,5664.00000,-0.16782,8.57700,150.35925,974.63593,2.20436,Candidate
TOI-5799.01,632,4.16454,1.98814,2612.23975,1.57254,,4.61049,0.03488,0.32653,0.34336,3521.00000,-1.78715,8.95200,13.41533,532.67242,5.17466,Candidate
HD 23472 c,635,29.79749,1.87000,601.51000,2.94000,3.41000,,0.16460,0.67000,0.71000,4684.00000,-0.62500,7.20700,7.96000,478.73476,1.27063,Confirmed
HD 23472 f,636,12.16218,1.13700,290.00000,2.82000,0.77000,,0.09060,0.67000,0.71000,4684.00000,-0.62500,7.20700,26.30000,645.27640,1.63723,Confirmed
HD 23472 d,637,3.97664,0.75000,135.57000,1.99000,0.55000,,0.04298,0.67000,0.71000,4684.00000,-0.62500,7.20700,117.00000,936.86426,1.96079,Confirmed
HD 23472 e,638,7.90754,0.81800,157.50000,2.48000,0.72000,,0.06800,0.67000,0.71000,4684.00000,-0.62500,7.20700,46.70000,744.82702,1.31724,Confirmed
TOI-411 b,641,4.04030,1.72000,201.00000,2.96000,,3.60516,0.05280,1.10000,1.16000,6040.00000,0.20900,6.98100,587.59000,1366.13279,5.00945,Confirmed
TOI-1468 b,646,1.88051,1.28000,1214.01000,1.19117,3.21000,,0.02081,0.34000,0.34000,3496.00000,-1.79700,8.49700,36.00000,685.75341,6.49108,Confirmed
HD 20329 b,648,0.92612,1.72000,210.00000,1.26000,7.42000,,0.01800,0.90000,1.13000,5596.00000,0.04900,7.11600,3474.00000,2133.89785,10.99618,Confirmed
TOI-2104.05,650,9.56111,1.67909,381.55676,3.01281,,3.46078,0.08184,0.80000,0.72376,4907.00000,-0.56286,8.65200,40.85011,703.65241,1.33368,Candidate
TOI-5949.01,651,1.88260,1.36935,290.00000,1.79100,,2.44805,0.02804,0.83000,0.77980,4996.00000,-0.46685,7.71900,434.04841,1270.41151,5.65123,Candidate
TOI-5955.01,652,0.59024,1.68029,518.72410,1.04505,,3.46499,0.01149,0.58062,0.59092,3844.00000,-1.16311,8.27400,520.45148,1329.39775,11.75309,Candidate
TOI-5961.01,653,1.61711,1.32026,343.70035,1.14303,,2.30091,0.02274,0.60000,0.70171,3900.68000,-0.98843,7.03400,198.58196,1044.82805,8.52220,Candidate
TOI-5974.01,654,1.72650,1.22688,1060.80519,1.01934,,2.02250,0.02002,0.35920,0.37168,3487.00000,-1.73515,8.55800,45.90430,724.47471,6.41868,Candidate
TOI-5978.01,656,0.73948,1.30977,153.53190,1.24737,,2.26998,0.01599,0.99800,0.97708,5632.00000,-0.06280,8.59600,3383.25324,2122.72388,4.00491,Candidate
TOI-5983.01,657,1.02719,1.37552,863.09120,0.98900,,2.46681,0.01457,0.39128,0.39982,3406.00000,-1.71259,10.40400,91.27169,860.28806,3.52666,Candidate
TOI-5985.01,658,2.41577,1.53564,242.49923,2.17008,,2.97390,0.03250,0.78500,0.77458,4837.00000,-0.52887,9.26700,280.06543,1138.60938,1.95737,Candidate
TOI-5991.01,659,7.08932,1.62791,127.61123,3.37954,,3.28360,0.07455,1.10000,1.24177,5983.00000,0.25045,7.91100,320.26120,1177.43234,1.59372,Candidate
TOI-5997.01,660,5.65502,1.58742,356.81369,1.78185,,3.14616,0.05619,0.74000,0.70477,4674.00000,-0.67046,7.67700,67.64919,798.22537,2.87006,Candidate
TOI-6000.01,661,0.44896,1.01526,674.82770,0.76375,,1.02607,0.00821,0.36589,0.37751,3419.00000,-1.75585,10.86600,260.47043,1118.14850,3.89153,Candidate
TOI-6008.01,662,0.85738,0.91620,1492.44350,0.55245,,0.71016,0.01041,0.20486,0.23505,3098.00000,-2.33867,9.54100,42.29149,709.77897,6.35626,Candidate
TOI-1136 b,664,4.17278,1.90000,322.47970,2.07000,,4.26886,0.05106,1.02000,0.97000,5770.00000,-0.02100,8.03400,365.44290,1216.92766,4.22761,Confirmed
TOI-6018.01,668,2.33225,1.90234,571.31389,1.44076,,4.27780,0.03222,0.82000,0.70895,4983.53000,-0.55393,8.97300,269.11977,1127.31757,4.99456,Candidate
TOI-6026.01,669,1.27578,1.28490,230.00000,1.31300,,2.19728,0.02063,0.72000,0.79113,4540.43000,-0.62042,7.40200,562.91420,1355.72133,6.55161,Candidate
EPIC 211754962.01,672,3.41065,1.65000,494.00000,1.94400,,3.35961,0.03679,0.65000,0.70000,3985.00000,-0.98500,11.01000,70.15886,823.13931,1.12431,Candidate
TOI-6058.01,674,2.36737,1.78189,550.00000,1.04500,,3.82816,0.03072,0.69000,0.70918,4403.00000,-0.76880,7.89500,180.46714,1020.13915,7.50390,Candidate
TOI-6061.01,675,7.13091,1.52252,313.00000,3.31300,,2.93090,0.07251,1.00000,0.97362,5639.00000,-0.06372,7.90800,164.26239,996.42453,2.99821,Candidate
K2-154 b,676,3.67626,1.99000,1100.00000,1.70000,,4.61781,0.04050,0.65000,0.63000,4097.00000,-1.01800,10.36800,57.50000,769.71928,2.75381,Confirmed
Kepler-1604 b,677,0.68368,1.41000,285.60000,0.99930,,2.57270,0.00890,0.81000,0.76000,4976.00000,-0.52700,12.82100,3567.57000,2178.28587,1.28131,Confirmed
K2-68 b,678,8.05428,1.58000,668.00000,2.72000,,3.12122,0.07080,0.73000,0.68000,4746.00000,-0.67300,10.53000,41.00000,710.05706,1.04915,Confirmed
Kepler-917 b,679,2.97041,1.91000,530.70000,2.21610,,4.30707,0.03780,0.80000,0.76000,5418.00000,0.76400,14.00500,228.11000,2222.35778,1.28332,Confirmed
K2-81 b,681,6.10233,1.97000,1076.00000,2.15000,,4.53930,0.05900,0.75000,0.63000,4674.13000,-0.56900,11.31600,62.90000,825.81710,1.75929,Confirmed
K2-83 c,682,9.99767,1.48300,1462.00000,2.77000,,2.80290,0.07131,0.48000,0.42000,3910.00000,-1.20400,10.76500,7.42000,521.17630,1.01946,Confirmed
EPIC 206042996 b,684,5.29860,1.70000,1970.00000,3.14400,,3.53428,0.04932,0.57000,0.50000,4114.00000,-0.98000,13.07100,43.05156,712.94676,1.15766,Confirmed
K2-50 b,685,8.75290,1.59000,1337.00000,2.68000,,3.15483,0.07050,0.61000,0.55000,4326.00000,-0.87400,11.66400,18.80000,633.81910,1.01427,Confirmed
K2-88 b,686,4.61220,1.23000,2194.00000,1.03900,,2.04026,0.03450,0.26000,0.26000,3537.00000,-1.54500,11.24000,7.80000,615.74420,2.39540,Confirmed
K2-35 c,687,5.60835,1.93000,938.00000,1.79760,,4.38392,0.05500,0.70000,0.62000,4402.71000,-0.71900,11.42300,68.00000,784.56428,1.38588,Confirmed
K2-191 b,688,2.85865,1.57900,308.00000,2.23200,,3.11787,0.03806,0.90000,0.84000,5176.00000,-0.34500,11.07700,311.94507,1169.71325,1.04904,Confirmed
K2-49 b,689,2.77065,1.93000,2090.00000,2.30700,,4.38392,0.03090,0.51000,0.45000,4175.00000,-0.77400,12.72900,59.00000,1014.09966,3.24729,Confirmed
K2-126 b,690,7.38565,1.97000,882.00000,2.58720,,4.53930,0.06560,0.69000,0.65000,4339.00000,-0.87800,9.71200,35.30000,655.55323,1.80606,Confirmed
K2-86 b,691,8.77683,1.96000,865.00000,2.75000,,4.50024,0.07700,0.79000,0.76000,5482.00000,-0.38600,10.92700,78.00000,803.18301,1.30573,Confirmed
Kepler-1669 c,692,1.60932,1.90100,728.50000,1.56750,,4.27267,0.02280,0.61000,0.60000,4224.00000,-0.80300,13.20000,199.28000,1161.02736,1.17891,Confirmed
K2-349 b,693,9.03218,1.38000,1028.00000,3.25000,,2.48046,0.06912,0.54000,0.49000,4385.00000,-0.36600,12.20400,90.11584,857.55141,1.32059,Confirmed
Kepler-1855 b,694,0.72733,1.21600,397.60000,0.93320,,1.95893,0.01150,0.39000,0.36000,3460.00000,-1.29500,12.03200,86.97000,1231.57527,1.58868,Confirmed
K2-385 b,695,2.38087,1.53900,506.00000,1.92000,,2.98496,0.03406,0.93000,0.76000,4844.00000,-0.51900,12.23700,260.90645,1118.61614,1.00286,Confirmed
EPIC 206215704.01,696,3.11594,1.59000,1620.00000,0.98400,,3.15483,0.03476,,0.37000,4231.00000,-0.91371,12.76700,,882.28403,1.79284,Candidate
EPIC 212330265.01,698,4.17458,1.08000,1250.46082,,,1.28055,0.01966,0.54000,0.28000,3620.00000,-1.34700,11.65500,26.35044,914.10081,3.04851,Candidate
EPIC 210659688.01,701,2.35765,1.95000,4690.00000,0.83520,,4.46133,0.02423,,0.27000,3655.00000,-1.93103,12.69400,,588.29341,2.18462,Candidate
EPIC 201596733.01,702,2.89653,1.45000,3274.00000,1.59840,,2.69783,0.01406,0.52000,0.24000,3556.00000,-1.49868,10.76300,39.11762,990.49080,14.67457,Candidate
EPIC 210564155.01,703,4.86496,1.09000,1561.00000,1.27200,,1.32356,0.03107,0.28000,0.26000,3407.00000,-1.96500,10.99300,8.02324,509.45795,1.08028,Candidate
EPIC 210696763.02,704,5.76808,1.19000,2090.00000,1.80000,,1.81291,0.02581,0.31000,0.25000,3338.00000,-1.92400,11.71500,6.56674,572.35449,1.57630,Candidate
EPIC 214254518.01,705,5.05903,1.03800,235.58627,,,1.11085,0.04158,0.67000,0.62000,4455.00000,-0.86513,9.33800,78.90150,829.52829,1.02681,Candidate
EPIC 216892056.01,706,2.78601,1.90000,1720.07452,0.49920,,4.26886,0.03013,0.47000,0.42000,3528.00000,-1.50900,9.12900,34.12690,672.71962,6.44064,Candidate
EPIC 205152172.01,707,0.98029,1.81000,655.00000,1.11600,,3.93125,0.01925,0.66000,0.69000,4063.00000,-0.91800,10.52400,444.88867,1182.52794,3.95273,Candidate
EPIC 210696763.03,708,7.98471,1.19000,2020.00000,1.92000,,1.81291,0.03197,0.31000,0.25000,3338.00000,-1.92400,11.71500,4.25646,514.25110,1.06431,Candidate
EPIC 212141021.01,709,2.91825,1.65000,402.00000,2.20800,,3.35961,0.03228,0.83000,0.78000,4996.93000,-0.48400,11.24200,232.60615,1172.38237,1.32962,Candidate
EPIC 201546136.01,710,1.96712,1.73000,361.00000,2.71200,,3.64082,0.01698,,0.83000,5063.00000,-0.45469,11.95100,,1643.89156,1.53797,Candidate
Kepler-113 b,711,4.75400,1.82000,748.70000,2.50370,11.70000,,0.05020,0.75000,0.69000,4725.00000,-0.57600,11.25500,105.33000,891.67793,1.48684,Confirmed
Kepler-1646 b,712,4.48558,1.23000,2265.00000,0.82080,,2.04026,0.02950,0.24000,0.26000,3299.00000,-1.78000,12.02900,4.20000,581.63277,1.58005,Confirmed
Kepler-674 b,713,2.24338,1.69000,821.70000,1.02050,,3.49905,0.02800,0.60000,0.57000,4192.00000,-0.90700,12.39400,146.51000,986.80391,1.39910,Confirmed
Kepler-445 d,714,8.15275,1.25000,16536.00000,1.38600,,2.09691,0.04390,0.18000,0.21000,3157.00000,-2.10000,12.61000,4.31000,396.57709,2.22177,Confirmed
